timestamp,TotalUptime,bootcounter,MCUTemp,Temperature
2022-01-31T12:43:10Z,1503360,213,8.80000000000000048849813083506887778639793395996093750000,0E-56
2022-01-31T11:55:09Z,1500479,213,8.70000000000000048294701571194309508427977561950683593750,0E-56
2022-01-31T11:51:09Z,1500240,213,6.30000000000000034972025275692431023344397544860839843750,0E-56
2022-01-31T11:51:09Z,1500240,213,6.30000000000000034972025275692431023344397544860839843750,0E-56
2022-01-29T12:21:57Z,1329360,209,12.30000000000000068278716014447127236053347587585449218750,0E-56
2022-01-29T12:20:57Z,1329300,209,11.40000000000000063282712403633922804147005081176757812500,0E-56
2022-01-29T12:17:57Z,1329120,209,9.60000000000000053290705182007513940334320068359375000000,0E-56
2022-01-29T12:16:57Z,1329060,209,8.40000000000000046629367034256574697792530059814453125000,0E-56
2022-01-29T12:15:57Z,1329000,209,7.70000000000000042743586448068526806309819221496582031250,0E-56
2022-01-29T12:14:57Z,1328940,209,7.20000000000000039968028886505635455250740051269531250000,0E-56
2022-01-29T12:14:57Z,1328940,209,7.20000000000000039968028886505635455250740051269531250000,0E-56
2022-01-28T18:17:55Z,1264320,209,2.80000000000000015543122344752191565930843353271484375000,0E-56
2022-01-28T18:16:55Z,1264260,209,3.80000000000000021094237467877974268049001693725585937500,0E-56
2022-01-28T18:15:55Z,1264200,209,4.40000000000000024424906541753443889319896697998046875000,0E-56
2022-01-28T18:14:55Z,1264140,209,5.10000000000000028310687127941491780802607536315917968750,0E-56
2022-01-28T18:13:55Z,1264080,209,6.60000000000000036637359812630165833979845046997070312500,0E-56
2022-01-28T18:12:55Z,1264020,209,7.50000000000000041633363423443370265886187553405761718750,0E-56
2022-01-28T18:11:55Z,1263960,209,8.10000000000000044964032497318839887157082557678222656250,0E-56
2022-01-28T18:10:55Z,1263899,209,9.50000000000000052735593669694935670122504234313964843750,0E-56
2022-01-28T16:42:55Z,1258619,209,2.40000000000000013322676295501878485083580017089843750000,0E-56
2022-01-28T16:41:55Z,1258560,209,3.70000000000000020539125955565395997837185859680175781250,0E-56
2022-01-28T16:40:55Z,1258500,209,4.10000000000000022759572004815709078684449195861816406250,0E-56
2022-01-28T16:39:55Z,1258440,209,5.50000000000000030531133177191804861649870872497558593750,0E-56
2022-01-28T16:38:55Z,1258379,209,6.30000000000000034972025275692431023344397544860839843750,0E-56
2022-01-28T12:32:55Z,1243620,209,12.00000000000000066613381477509392425417900085449218750000,0E-56
2022-01-28T12:31:55Z,1243560,209,11.10000000000000061617377866696187993511557579040527343750,0E-56
2022-01-28T12:30:55Z,1243499,209,10.50000000000000058286708792820718372240662574768066406250,0E-56
2022-01-28T12:29:55Z,1243439,209,9.20000000000000051070259132757200859487056732177734375000,0E-56
2022-01-28T12:28:55Z,1243380,209,8.90000000000000049404924595819466048851609230041503906250,0E-56
2022-01-28T11:47:46Z,1240920,209,11.70000000000000064948046940571657614782452583312988281250,0E-56
2022-01-28T11:46:46Z,1240860,209,12.90000000000000071609385088322596857324242591857910156250,0E-56
2022-01-28T11:46:46Z,1240860,209,12.90000000000000071609385088322596857324242591857910156250,0E-56
2022-01-28T10:37:54Z,1236720,209,-0.60000000000000003330669073875469621270895004272460937500,0E-56
2022-01-28T10:36:54Z,1236660,209,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-01-28T10:35:54Z,1236599,209,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-01-28T10:34:54Z,1236540,209,-1.60000000000000008881784197001252323389053344726562500000,0E-56
2022-01-28T10:33:54Z,1236479,209,-1.50000000000000008326672684688674053177237510681152343750,0E-56
2022-01-28T10:32:54Z,1236420,209,-2.00000000000000011102230246251565404236316680908203125000,0E-56
2022-01-28T10:31:54Z,1236359,209,-2.00000000000000011102230246251565404236316680908203125000,0E-56
2022-01-28T10:30:54Z,1236299,209,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-01-28T08:58:54Z,1230780,209,-1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-01-28T07:30:54Z,1225500,209,0.50000000000000002775557561562891351059079170227050781250,0E-56
2022-01-28T07:27:54Z,1225320,209,-0.70000000000000003885780586188047891482710838317871093750,0E-56
2022-01-28T07:26:54Z,1225260,209,-1.20000000000000006661338147750939242541790008544921875000,0E-56
2022-01-28T07:25:54Z,1225200,209,-1.70000000000000009436895709313830593600869178771972656250,0E-56
2022-01-28T07:24:54Z,1225140,209,-1.90000000000000010547118733938987134024500846862792968750,0E-56
